Event,Date,Time,Field,Against,Grizzlies,Opponent
Practice,11-May-10,18:45,Bottomlands,,,
Practice,18-May-10,19:00,Bottomlands,,,
Practice,22-May-10,10:00,Forrest Lawn,,,
Game,26-May-10,20:15,Airdrie,Airdrie,2,1
Game,2-Jun-10,20:15,Tom Brooks,Chinooks,2,3
Practice,4-Jun-10,21:00,Bottomlands,,,
Game,8-Jun-10,19:00,Bottomlands,Blizzard,4,1
Game,13-Jun-10,13:00,Foothills,Callies,,
Practice,16-Jun-10,18:45,Bottomlands,,,
Game,30-Jun-10,19:15,Bottomlands,Darts,,
Game,7-Jul-10,18:45,Glenmore,Vipers,,
Game,18-Jul-10,15:30,Mount Royal,Darts,,
Game,30-Jul-10,19:00,Bottomlands,Wolves,,
Practice,1-Aug-10,11:00,Bottomlands,,,
Game,9-Aug-10,20:00,Oakridge,ASP,,
Game,20-Aug-10,21:00,Tom Brooks,Storm
Practice,23-Aug-10,19:15,Bottomlands,
Game,25-Aug-10,19:15,Bottomlands,Tigers
